"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"23" ,8 ,"Montipora" ,2 ,2 ,"C" ,0 ,30 ,324 ,1.78497 ,2.63243 ,2.45263 ,0.1798 ,0.0683019111619303 ,6.85135944054559 ,NA ,TRUE ,29 ,"Far" ,"Medium"
"24" ,8 ,"Montipora" ,3 ,5 ,"H" ,0 ,0 ,325 ,1.78144 ,3.89636 ,3.67276 ,0.2236 ,0.0573868944348059 ,15.3146179023245 ,NA ,FALSE ,29 ,"Far" ,"Medium"
"25" ,9 ,"Montipora" ,1 ,4 ,"C" ,0 ,3 ,332 ,1.76481 ,3.03879 ,2.86129 ,0.1775 ,0.0584114071719336 ,15.1095818233027 ,NA ,TRUE ,33 ,"Far" ,"High"
"26" ,9 ,"Montipora" ,2 ,5 ,"H" ,0 ,0 ,333 ,1.79914 ,3.26956 ,3.02176 ,0.2478 ,0.0757900145585338 ,20.9893856894062 ,NA ,FALSE ,33 ,"Far" ,"High"
"27" ,9 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,14 ,2.6626 ,2.99 ,2.8198 ,0.170199999999999 ,0.0569230769230767 ,16.2830190755508 ,NA ,FALSE ,33 ,"Far" ,"High"
"28" ,10 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,146 ,1.03202 ,2.69018 ,2.53138 ,0.158799999999999 ,0.0590295073192126 ,14.4376943643541 ,NA ,FALSE ,33 ,"Far" ,"High"
"29" ,10 ,"Montipora" ,2 ,2 ,"H" ,0 ,0 ,147 ,1.02137 ,1.67143 ,1.55263 ,0.1188 ,0.0710768623274682 ,9.75656296022446 ,NA ,FALSE ,33 ,"Far" ,"High"
"30" ,10 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,148 ,0.99171 ,1.96509 ,1.85689 ,0.1082 ,0.0550610913495057 ,8.67775774444792 ,NA ,FALSE ,33 ,"Far" ,"High"
"31" ,11 ,"Montipora" ,1 ,4 ,"H" ,0 ,0 ,278 ,1.02135 ,3.11245 ,2.92445 ,0.188 ,0.0604025767482208 ,15.7341532640154 ,NA ,FALSE ,33 ,"Far" ,"High"
"32" ,11 ,"Montipora" ,2 ,7 ,"H" ,0 ,0 ,279 ,1.00925 ,5.70435 ,5.38665 ,0.317699999999999 ,0.0556943385311209 ,18.1314981879632 ,NA ,FALSE ,33 ,"Far" ,"High"
