SampleID,Substrate,Species,InitialBW,InitialTemp,InitialDate,FinalBW,FinalTemp,FinalDate,InitDens,FinalDens,DeltaDens,pcDeltaDens,Volume,SA,AFDW,DW,Org,pcOrg,Nuts,Tank,Aq_Ex1,Aq_Ex2,Check
25,Coral,Porites,20.676,26.92,10/18/2015,21.565,24.894,12/7/2015,31.80556327,33.17306401,1.367500743,0.042995646,20,98.03688733,17.98465,18.85865,0.874,0.046344781,Ambient,Near,1,38,NA
26,Coral,Porites,20.036,26.913,10/18/2015,20.473,24.675,12/7/2015,30.8210613,31.49325595,0.672194654,0.021809588,16,131.894769,14.94815,15.75885,0.8107,0.051444109,Ambient,Near,1,39,NA
27,Coral,Porites,16.415,26.917,10/18/2015,16.548,24.725,12/7/2015,25.25093443,25.4554981,0.204563671,0.008101232,12,95.84867754,12.74876,13.41196,0.6632,0.049448403,Ambient,Near,1,37,NA
28,Coral,Porites,15.103,26.958,10/18/2015,15.62,24.628,12/7/2015,23.2327061,24.02797081,0.79526471,0.034230395,12,102.8288971,12.21311,12.82021,0.6071,0.047354919,Ambient,Near,1,40,NA
29,Coral,Porites,16.401,26.984,10/18/2015,16.943,24.752,12/7/2015,25.2293993,26.06312002,0.833720722,0.033045603,14,111.8276978,13.78571,14.54941,0.7637,0.052490101,Medium,Mid,17,54,NA
30,Coral,Porites,18.066,26.966,10/18/2015,18.65,24.776,12/7/2015,27.79064226,28.68896856,0.898326304,0.032324777,12,97.43470556,12.45235,13.14065,0.6883,0.052379449,Medium,Mid,17,53,NA
31,Coral,Porites,15.214,26.98,10/18/2015,15.885,24.757,12/7/2015,23.4034559,24.43561722,1.032161325,0.044102945,11,94.27113095,11.41596,12.08436,0.6684,0.055311163,Medium,Mid,17,55,NA
32,Coral,Porites,16.806,26.983,10/18/2015,17.466,24.643,12/7/2015,25.85240439,26.86764029,1.015235892,0.039270463,13,89.74204558,13.8149,14.485,0.6701,0.04626165,Medium,Mid,17,56,NA
33,Coral,Porites,19.286,26.937,10/18/2015,19.69,24.658,12/7/2015,29.66734854,30.28878056,0.621432017,0.020946665,16,125.8559885,16.18266,16.99406,0.8114,0.047746095,High,Mid,21,59,NA
34,Coral,Porites,19.15,26.936,10/18/2015,19.478,24.761,12/7/2015,29.45814188,29.96266624,0.504524364,0.017126822,18,136.7122231,18.69921,19.76471,1.0655,0.053909215,High,Mid,21,58,NA
35,Coral,Porites,20.46,26.956,10/18/2015,20.914,24.736,12/7/2015,31.47329446,32.17163949,0.698345025,0.022188495,20,142.1827476,20.18539,21.22489,1.0395,0.048975519,High,Mid,21,60,NA
36,Coral,Porites,18.56,26.966,10/18/2015,18.777,24.818,12/7/2015,28.55055465,28.88433105,0.3337764,0.011690715,14,132.5563208,14.86095,15.72685,0.8659,0.055058705,High,Mid,21,57,NA
