"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",0.867459501706453,1.42781269163252,56.9999999993311,0.60754432762089,0.545902658262645
"TankOmegaArag",0.0686403580473336,0.45097677770529,56.9999999993261,0.152203752921818,0.879563707210949
"NutLevelMed",-2.79871104337315,1.82965364026786,56.9999999992348,-1.52963980820076,0.131637071412039
"NutLevelHigh",-0.814759725180346,1.78969782190045,56.9999999993369,-0.455249883645254,0.650658880373534
"TankOmegaArag:NutLevelMed",0.612759557486038,0.569833676765932,56.9999999997513,1.07533054375398,0.28675753355078
"TankOmegaArag:NutLevelHigh",-0.533657906640265,0.556243330525201,56.9999999997671,-0.959396503930014,0.341411062199077
