Scan No ,Date, Time,RAW VALUE ,CALIBRATED VALUE
129,02/12/2015 , 21:45:00,0,0
130,02/12/2015 , 22:00:00,0,0
131,02/12/2015 , 22:15:00,0,0
132,02/12/2015 , 22:30:00,0,0
133,02/12/2015 , 22:45:00,0,0
134,02/12/2015 , 23:00:00,0,0
135,02/12/2015 , 23:15:00,0,0
136,02/12/2015 , 23:30:00,0,0
137,02/12/2015 , 23:45:00,0,0
138,02/12/2015 , 24:00:00,0,0
139,03/12/2015 , 00:15:00,0,0
140,03/12/2015 , 00:30:00,0,0
141,03/12/2015 , 00:45:00,0,0
142,03/12/2015 , 01:00:00,0,0
143,03/12/2015 , 01:15:00,0,0
144,03/12/2015 , 01:30:00,0,0
145,03/12/2015 , 01:45:00,0,0
146,03/12/2015 , 02:00:00,0,0
147,03/12/2015 , 02:15:00,0,0
148,03/12/2015 , 02:30:00,0,0
149,03/12/2015 , 02:45:00,0,0
150,03/12/2015 , 03:00:00,0,0
151,03/12/2015 , 03:15:00,0,0
152,03/12/2015 , 03:30:00,0,0
153,03/12/2015 , 03:45:00,0,0
154,03/12/2015 , 04:00:00,0,0
155,03/12/2015 , 04:15:00,0,0
156,03/12/2015 , 04:30:00,0,0
157,03/12/2015 , 04:45:00,0,0
158,03/12/2015 , 05:00:00,0,0
159,03/12/2015 , 05:15:00,0,0
160,03/12/2015 , 05:30:00,0,0
161,03/12/2015 , 05:45:00,0,0
162,03/12/2015 , 06:00:00,0,0
163,03/12/2015 , 06:15:00,0,0
164,03/12/2015 , 06:30:00,0,0
165,03/12/2015 , 06:45:00,1,1
166,03/12/2015 , 07:00:00,29,29
167,03/12/2015 , 07:15:00,144,144
168,03/12/2015 , 07:30:00,249,249
169,03/12/2015 , 07:45:00,372,372
170,03/12/2015 , 08:00:00,368,368
171,03/12/2015 , 08:15:00,738,738
172,03/12/2015 , 08:30:00,621,621
173,03/12/2015 , 08:45:00,1276,1276
174,03/12/2015 , 09:00:00,6820,6820
175,03/12/2015 , 09:15:00,4392,4392
176,03/12/2015 , 09:30:00,2671,2671
177,03/12/2015 , 09:45:00,2703,2703
178,03/12/2015 , 10:00:00,4331,4331
179,03/12/2015 , 10:15:00,7406,7406
180,03/12/2015 , 10:30:00,2709,2709
181,03/12/2015 , 10:45:00,6345,6345
182,03/12/2015 , 11:00:00,5848,5848
183,03/12/2015 , 11:15:00,9685,9685
184,03/12/2015 , 11:30:00,10531,10531
185,03/12/2015 , 11:45:00,10675,10675
186,03/12/2015 , 12:00:00,10109,10109
187,03/12/2015 , 12:15:00,7814,7814
188,03/12/2015 , 12:30:00,6384,6384
189,03/12/2015 , 12:45:00,6922,6922
190,03/12/2015 , 13:00:00,5197,5197
191,03/12/2015 , 13:15:00,5929,5929
192,03/12/2015 , 13:30:00,4954,4954
193,03/12/2015 , 13:45:00,4051,4051
194,03/12/2015 , 14:00:00,2862,2862
195,03/12/2015 , 14:15:00,2830,2830
196,03/12/2015 , 14:30:00,2987,2987
197,03/12/2015 , 14:45:00,2261,2261
198,03/12/2015 , 15:00:00,2278,2278
199,03/12/2015 , 15:15:00,1705,1705
200,03/12/2015 , 15:30:00,2129,2129
201,03/12/2015 , 15:45:00,1048,1048
202,03/12/2015 , 16:00:00,1499,1499
203,03/12/2015 , 16:15:00,801,801
204,03/12/2015 , 16:30:00,859,859
205,03/12/2015 , 16:45:00,723,723
206,03/12/2015 , 17:00:00,605,605
207,03/12/2015 , 17:15:00,340,340
208,03/12/2015 , 17:30:00,242,242
209,03/12/2015 , 17:45:00,119,119
210,03/12/2015 , 18:00:00,31,31
211,03/12/2015 , 18:15:00,6,6
212,03/12/2015 , 18:30:00,5,5
213,03/12/2015 , 18:45:00,4,4
214,03/12/2015 , 19:00:00,5,5
215,03/12/2015 , 19:15:00,5,5
216,03/12/2015 , 19:30:00,5,5
217,03/12/2015 , 19:45:00,3,3
218,03/12/2015 , 20:00:00,0,0
219,03/12/2015 , 20:15:00,0,0
220,03/12/2015 , 20:30:00,0,0
221,03/12/2015 , 20:45:00,0,0
222,03/12/2015 , 21:00:00,0,0
223,03/12/2015 , 21:15:00,0,0
224,03/12/2015 , 21:30:00,5,5
225,03/12/2015 , 21:45:00,1,1
226,03/12/2015 , 22:00:00,1,1
227,03/12/2015 , 22:15:00,0,0
228,03/12/2015 , 22:30:00,0,0
229,03/12/2015 , 22:45:00,1,1
230,03/12/2015 , 23:00:00,0,0
231,03/12/2015 , 23:15:00,0,0
232,03/12/2015 , 23:30:00,0,0
233,03/12/2015 , 23:45:00,0,0
234,03/12/2015 , 24:00:00,0,0
235,04/12/2015 , 00:15:00,0,0
236,04/12/2015 , 00:30:00,0,0
237,04/12/2015 , 00:45:00,0,0
238,04/12/2015 , 01:00:00,0,0
239,04/12/2015 , 01:15:00,0,0
240,04/12/2015 , 01:30:00,0,0
241,04/12/2015 , 01:45:00,0,0
242,04/12/2015 , 02:00:00,0,0
243,04/12/2015 , 02:15:00,0,0
244,04/12/2015 , 02:30:00,0,0
245,04/12/2015 , 02:45:00,0,0
246,04/12/2015 , 03:00:00,0,0
247,04/12/2015 , 03:15:00,0,0
248,04/12/2015 , 03:30:00,0,0
249,04/12/2015 , 03:45:00,0,0
250,04/12/2015 , 04:00:00,0,0
251,04/12/2015 , 04:15:00,0,0
252,04/12/2015 , 04:30:00,0,0
253,04/12/2015 , 04:45:00,0,0
254,04/12/2015 , 05:00:00,0,0
255,04/12/2015 , 05:15:00,0,0
256,04/12/2015 , 05:30:00,1,1
257,04/12/2015 , 05:45:00,0,0
258,04/12/2015 , 06:00:00,7,7
259,04/12/2015 , 06:15:00,2,2
260,04/12/2015 , 06:30:00,1,1
261,04/12/2015 , 06:45:00,6,6
262,04/12/2015 , 07:00:00,24,24
263,04/12/2015 , 07:15:00,138,138
264,04/12/2015 , 07:30:00,403,403
265,04/12/2015 , 07:45:00,604,604
266,04/12/2015 , 08:00:00,921,921
267,04/12/2015 , 08:15:00,533,533
268,04/12/2015 , 08:30:00,600,600
269,04/12/2015 , 08:45:00,1044,1044
270,04/12/2015 , 09:00:00,3989,3989
271,04/12/2015 , 09:15:00,7133,7133
